year,month,rank,net_worth, transformed worth ,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2024,4,1,233,"$233,000,000,000 ",Arnault,Bernard,Bernard Arnault & family,3/5/1949,75,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moët Hennessy Louis Vuitton,Chairman and CEO,FALSE,Increased
2024,4,2,195,"$195,000,000,000 ",Musk,Elon,Elon Musk,6/28/1971,52,Male,United States,United States,Austin,Automotive,['Automotive'],Tesla,CEO,TRUE,Increased
2024,4,3,194,"$194,000,000,000 ",Bezos,Jeff,Jeff Bezos,1/12/1964,60,Male,United States,United States,Miami,Technology,['Technology'],Amazon,Chairman and Founder,TRUE,Increased
2024,4,4,177,"$177,000,000,000 ",Zuckerberg,Mark,Mark Zuckerberg,5/14/1984,39,Male,United States,United States,Palo Alto,Technology,['Technology'],Meta Platforms,Cofounder,TRUE,Increased
2024,4,5,141,"$141,000,000,000 ",Ellison,Larry,Larry Ellison,8/17/1944,79,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CTO and Founder,TRUE,Increased
2024,4,6,133,"$133,000,000,000 ",Buffett,Warren,Warren Buffett,8/30/1930,93,Male,United States,United States,Omaha,Finance & Investments,['Finance & Investments'],Berkshire Hathaway Inc. (Cl A),CEO,TRUE,Increased
2024,4,7,128,"$128,000,000,000 ",Gates,Bill,Bill Gates,10/28/1955,68,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Cochair,TRUE,Increased
2024,4,8,121,"$121,000,000,000 ",Ballmer,Steve,Steve Ballmer,3/24/1956,68,Male,United States,United States,Hunts Point,Technology,['Technology'],Los Angeles Clippers,Owner,TRUE,Increased
2024,4,9,116,"$116,000,000,000 ",Ambani,Mukesh,Mukesh Ambani,4/19/1957,66,Male,India,India,Mumbai,Diversified,['Diversified'],Reliance Industries,Chairman and managing director,FALSE,Increased
2024,4,10,114,"$114,000,000,000 ",Page,Larry,Larry Page,3/26/1973,51,Male,United States,United States,Palo Alto,Technology,['Technology'],Alphabet,Cofounder and board member,TRUE,Increased
